module_id,course_id,module_number,module_name,duration_hours,content_type,difficulty
MOD00097,CRS013,1,Database Management - Module 1,7,Live Session,Easy
MOD00098,CRS013,2,Database Management - Module 2,5,Quiz,Medium
MOD00099,CRS013,3,Database Management - Module 3,2,Project,Easy
MOD00100,CRS013,4,Database Management - Module 4,4,Quiz,Hard
MOD00101,CRS013,5,Database Management - Module 5,3,Reading,Hard
MOD00102,CRS013,6,Database Management - Module 6,4,Live Session,Hard
MOD00103,CRS013,7,Database Management - Module 7,6,Reading,Hard
MOD00104,CRS013,8,Database Management - Module 8,10,Project,Easy
MOD00105,CRS014,1,Software Testing - Module 1,9,Project,Medium
MOD00106,CRS014,2,Software Testing - Module 2,3,Video,Hard
MOD00107,CRS014,3,Software Testing - Module 3,6,Video,Easy
MOD00108,CRS014,4,Software Testing - Module 4,2,Video,Hard
MOD00109,CRS014,5,Software Testing - Module 5,9,Reading,Easy
MOD00110,CRS014,6,Software Testing - Module 6,2,Project,Hard
MOD00111,CRS014,7,Software Testing - Module 7,7,Reading,Medium
MOD00112,CRS014,8,Software Testing - Module 8,9,Project,Medium
MOD00113,CRS015,1,Project Management - Module 1,9,Project,Easy
MOD00114,CRS015,2,Project Management - Module 2,3,Project,Easy
MOD00115,CRS015,3,Project Management - Module 3,2,Quiz,Hard
MOD00116,CRS015,4,Project Management - Module 4,5,Quiz,Hard
MOD00117,CRS015,5,Project Management - Module 5,3,Video,Hard
MOD00118,CRS015,6,Project Management - Module 6,8,Reading,Hard
MOD00119,CRS015,7,Project Management - Module 7,8,Quiz,Medium
MOD00120,CRS015,8,Project Management - Module 8,4,Reading,Easy
MOD00121,CRS016,1,Business Analytics - Module 1,9,Project,Easy
MOD00122,CRS016,2,Business Analytics - Module 2,3,Quiz,Medium
MOD00123,CRS016,3,Business Analytics - Module 3,10,Live Session,Easy
MOD00124,CRS016,4,Business Analytics - Module 4,6,Quiz,Hard
MOD00125,CRS016,5,Business Analytics - Module 5,3,Quiz,Medium
MOD00126,CRS016,6,Business Analytics - Module 6,6,Reading,Medium
MOD00127,CRS016,7,Business Analytics - Module 7,6,Reading,Hard
MOD00128,CRS016,8,Business Analytics - Module 8,8,Live Session,Medium
MOD00129,CRS017,1,IoT - Module 1,7,Live Session,Easy
MOD00130,CRS017,2,IoT - Module 2,7,Video,Hard
MOD00131,CRS017,3,IoT - Module 3,3,Project,Easy
MOD00132,CRS017,4,IoT - Module 4,5,Video,Medium
MOD00133,CRS017,5,IoT - Module 5,10,Live Session,Medium
MOD00134,CRS017,6,IoT - Module 6,3,Live Session,Medium
MOD00135,CRS017,7,IoT - Module 7,7,Video,Medium
MOD00136,CRS017,8,IoT - Module 8,8,Reading,Easy
MOD00137,CRS018,1,Game Development - Module 1,2,Video,Hard
MOD00138,CRS018,2,Game Development - Module 2,5,Project,Easy
MOD00139,CRS018,3,Game Development - Module 3,10,Live Session,Easy
MOD00140,CRS018,4,Game Development - Module 4,4,Project,Medium
MOD00141,CRS018,5,Game Development - Module 5,8,Quiz,Easy
MOD00142,CRS018,6,Game Development - Module 6,8,Live Session,Medium
MOD00143,CRS018,7,Game Development - Module 7,5,Video,Medium
MOD00144,CRS018,8,Game Development - Module 8,6,Quiz,Easy
MOD00145,CRS019,1,Data Engineering - Module 1,3,Quiz,Hard
MOD00146,CRS019,2,Data Engineering - Module 2,5,Project,Medium
MOD00147,CRS019,3,Data Engineering - Module 3,6,Quiz,Hard
MOD00148,CRS019,4,Data Engineering - Module 4,8,Live Session,Easy
MOD00149,CRS019,5,Data Engineering - Module 5,4,Quiz,Hard
MOD00150,CRS019,6,Data Engineering - Module 6,8,Project,Medium
MOD00151,CRS019,7,Data Engineering - Module 7,6,Quiz,Easy
MOD00152,CRS019,8,Data Engineering - Module 8,4,Live Session,Hard
MOD00153,CRS020,1,Computer Vision - Module 1,9,Video,Hard
MOD00154,CRS020,2,Computer Vision - Module 2,10,Live Session,Easy
MOD00155,CRS020,3,Computer Vision - Module 3,5,Video,Hard
MOD00156,CRS020,4,Computer Vision - Module 4,6,Project,Hard
MOD00157,CRS020,5,Computer Vision - Module 5,4,Reading,Medium
MOD00158,CRS020,6,Computer Vision - Module 6,4,Quiz,Hard
MOD00159,CRS020,7,Computer Vision - Module 7,10,Video,Medium
MOD00160,CRS020,8,Computer Vision - Module 8,3,Live Session,Hard
