student_id,total_activities,total_hours,activity_level
STU00327,29,145.74,Very Active
STU00331,16,89.65,Active
STU00332,19,108.29,Very Active
STU00333,21,87.31,Active
STU00355,20,88.46,Active
STU00362,6,37.71,Moderate
STU00365,19,77.73,Active
STU00375,16,78.29,Active
STU00381,31,133.15,Very Active
STU00392,8,32.39,Moderate
STU00394,8,25.66,Moderate
STU00404,16,82.41,Active
STU00406,20,101.12,Very Active
STU00417,33,149.64,Very Active
STU00423,30,186.36,Very Active
STU00425,16,72.97,Active
STU00440,8,34.47,Moderate
STU00446,22,86.39,Active
STU00451,13,55.11,Active
STU00455,16,57.64,Active
STU00467,7,36.0,Moderate
STU00473,22,101.0,Very Active
STU00478,11,56.07,Active
STU00479,8,52.39,Active
STU00482,4,16.29,Low Activity
STU00031,4,19.73,Low Activity
STU00032,13,63.47,Active
STU00038,25,120.29,Very Active
STU00062,25,120.77,Very Active
STU00071,27,117.07,Very Active
STU00078,8,43.87,Moderate
STU00087,33,159.6,Very Active
STU00088,10,35.25,Moderate
STU00090,21,89.4,Active
STU00095,16,72.64,Active
STU00101,11,65.94,Active
STU00109,2,5.06,Low Activity
STU00123,3,23.6,Moderate
STU00142,12,61.02,Active
STU00143,8,58.13,Active
STU00165,24,116.52,Very Active
STU00171,28,186.69,Very Active
STU00175,25,107.56,Very Active
STU00177,12,44.41,Moderate
STU00188,20,99.91,Active
STU00195,20,124.69,Very Active
STU00200,12,71.8,Active
STU00223,16,77.97,Active
STU00251,8,39.86,Moderate
STU00255,24,91.92,Active
STU00276,28,182.6,Very Active
STU00322,18,104.63,Very Active
STU00340,16,62.37,Active
STU00344,3,21.37,Moderate
STU00349,4,29.25,Moderate
STU00352,19,114.5,Very Active
STU00359,19,91.38,Active
STU00360,8,23.45,Moderate
STU00367,20,106.8,Very Active
STU00372,15,99.07,Active
STU00376,19,108.53,Very Active
STU00382,19,101.78,Very Active
STU00387,16,80.12,Active
STU00393,3,10.94,Low Activity
STU00400,8,33.24,Moderate
STU00401,14,67.91,Active
STU00407,2,14.08,Low Activity
STU00411,30,139.35,Very Active
STU00420,27,144.62,Very Active
STU00445,29,179.02,Very Active
STU00447,4,22.04,Moderate
STU00457,16,93.64,Active
STU00458,29,135.43,Very Active
STU00459,8,23.87,Moderate
STU00464,20,92.43,Active
STU00465,21,121.92,Very Active
STU00471,7,34.4,Moderate
STU00494,8,38.57,Moderate
STU00495,7,61.81,Active
STU00001,4,18.75,Low Activity
STU00009,26,155.82,Very Active
STU00019,20,130.63,Very Active
STU00021,14,50.62,Active
STU00023,8,33.42,Moderate
STU00025,30,157.88,Very Active
STU00043,32,197.61,Very Active
STU00048,8,43.09,Moderate
STU00050,27,131.02,Very Active
STU00051,24,138.34,Very Active
STU00055,15,98.45,Active
STU00061,21,109.38,Very Active
STU00064,24,145.76,Very Active
STU00066,29,147.33,Very Active
STU00067,8,37.63,Moderate
STU00075,6,34.74,Moderate
STU00110,17,83.78,Active
STU00114,16,98.65,Active
STU00116,22,109.37,Very Active
STU00129,18,97.16,Active
STU00136,8,59.85,Active
STU00144,7,48.37,Moderate
STU00146,23,136.17,Very Active
STU00156,12,46.1,Moderate
STU00158,19,93.2,Active
STU00170,12,66.57,Active
STU00174,14,65.03,Active
STU00176,17,104.94,Very Active
STU00187,2,9.05,Low Activity
STU00221,26,150.57,Very Active
STU00234,16,78.44,Active
STU00245,29,156.54,Very Active
STU00262,22,131.95,Very Active
STU00282,4,22.69,Moderate
STU00284,22,124.82,Very Active
STU00285,23,123.17,Very Active
STU00292,19,84.09,Active
STU00306,27,159.23,Very Active
STU00328,19,99.17,Active
STU00330,39,198.33,Very Active
STU00341,30,136.41,Very Active
STU00368,21,118.86,Very Active
STU00369,13,64.83,Active
STU00377,26,90.43,Active
STU00380,21,98.31,Active
STU00384,19,115.5,Very Active
STU00413,31,186.07,Very Active
STU00421,21,120.98,Very Active
STU00431,26,120.68,Very Active
STU00432,27,131.61,Very Active
STU00433,21,104.91,Very Active
STU00453,20,98.62,Active
STU00454,8,26.7,Moderate
STU00470,38,163.08,Very Active
STU00475,8,31.23,Moderate
STU00476,29,136.58,Very Active
STU00497,8,49.47,Moderate
