assessment_id,student_id,module_id,course_id,attempt_number,score,max_score,assessment_date,time_taken_minutes,passed
ASS0000030,STU00003,MOD00033,CRS005,1,78,100,2025-09-01,16,False
ASS0000031,STU00003,MOD00033,CRS005,2,43,100,2025-09-01,17,True
ASS0000032,STU00003,MOD00033,CRS005,3,93,100,2025-09-01,27,True
ASS0000033,STU00003,MOD00036,CRS005,1,54,100,2025-09-11,16,True
ASS0000034,STU00003,MOD00036,CRS005,2,68,100,2025-09-12,50,False
ASS0000035,STU00003,MOD00039,CRS005,1,44,100,2025-06-17,32,False
ASS0000036,STU00003,MOD00039,CRS005,2,49,100,2025-06-20,34,True
ASS0000037,STU00003,MOD00039,CRS005,3,85,100,2025-06-15,57,True
ASS0000038,STU00003,MOD00050,CRS007,1,54,100,2025-08-22,53,True
ASS0000039,STU00003,MOD00050,CRS007,2,65,100,2025-08-25,22,True
ASS0000040,STU00003,MOD00050,CRS007,3,95,100,2025-08-23,53,True
ASS0000041,STU00003,MOD00052,CRS007,1,38,100,2025-07-10,43,True
ASS0000042,STU00003,MOD00052,CRS007,2,32,100,2025-07-12,43,True
ASS0000043,STU00003,MOD00052,CRS007,3,94,100,2025-07-09,59,True
ASS0000044,STU00003,MOD00053,CRS007,1,73,100,2025-07-16,32,True
ASS0000045,STU00003,MOD00082,CRS011,1,31,100,2026-01-31,19,False
ASS0000046,STU00003,MOD00082,CRS011,2,72,100,2026-01-27,52,True
ASS0000047,STU00003,MOD00082,CRS011,3,55,100,2026-01-29,53,True
ASS0000048,STU00003,MOD00083,CRS011,1,67,100,2026-02-05,18,True
ASS0000049,STU00003,MOD00083,CRS011,2,42,100,2026-02-05,46,True
ASS0000050,STU00003,MOD00083,CRS011,3,65,100,2026-02-07,15,True
ASS0000051,STU00003,MOD00085,CRS011,1,54,100,2025-12-03,27,True
ASS0000052,STU00003,MOD00085,CRS011,2,76,100,2025-12-02,13,True
ASS0000053,STU00003,MOD00085,CRS011,3,100,100,2025-12-01,28,True
ASS0000054,STU00003,MOD00086,CRS011,1,73,100,2026-01-14,47,True
ASS0000055,STU00003,MOD00086,CRS011,2,56,100,2026-01-17,30,False
ASS0000056,STU00003,MOD00087,CRS011,1,50,100,2025-11-16,12,True
ASS0000057,STU00003,MOD00088,CRS011,1,82,100,2026-01-06,52,True
ASS0000058,STU00004,MOD00065,CRS009,1,90,100,2025-12-29,14,True
ASS0000059,STU00004,MOD00066,CRS009,1,70,100,2026-01-20,11,True
ASS0000060,STU00004,MOD00066,CRS009,2,90,100,2026-01-22,14,False
ASS0000061,STU00004,MOD00066,CRS009,3,56,100,2026-01-23,12,True
ASS0000062,STU00004,MOD00067,CRS009,1,64,100,2025-11-26,48,True
ASS0000063,STU00004,MOD00067,CRS009,2,72,100,2025-11-28,15,False
ASS0000064,STU00004,MOD00068,CRS009,1,83,100,2026-02-06,45,True
ASS0000065,STU00004,MOD00069,CRS009,1,49,100,2025-12-09,32,True
ASS0000066,STU00004,MOD00069,CRS009,2,71,100,2025-12-05,37,True
ASS0000067,STU00004,MOD00071,CRS009,1,54,100,2026-01-19,21,True
ASS0000068,STU00004,MOD00071,CRS009,2,69,100,2026-01-20,57,True
ASS0000069,STU00004,MOD00071,CRS009,3,70,100,2026-01-18,28,False
ASS0000070,STU00004,MOD00072,CRS009,1,35,100,2025-12-13,32,True
ASS0000071,STU00004,MOD00072,CRS009,2,81,100,2025-12-12,48,True
ASS0000072,STU00004,MOD00121,CRS016,1,89,100,2026-01-06,54,True
ASS0000073,STU00004,MOD00122,CRS016,1,78,100,2026-01-20,12,True
ASS0000074,STU00004,MOD00122,CRS016,2,50,100,2026-01-21,26,True
ASS0000075,STU00004,MOD00123,CRS016,1,71,100,2026-02-08,19,True
ASS0000076,STU00004,MOD00123,CRS016,2,45,100,2026-02-09,58,True
ASS0000077,STU00004,MOD00123,CRS016,3,99,100,2026-02-06,22,True
ASS0000078,STU00004,MOD00125,CRS016,1,87,100,2026-02-05,52,True
ASS0000079,STU00004,MOD00125,CRS016,2,86,100,2026-02-07,15,True
ASS0000080,STU00004,MOD00125,CRS016,3,73,100,2026-02-04,18,False
ASS0000081,STU00004,MOD00126,CRS016,1,59,100,2025-12-24,11,False
ASS0000082,STU00004,MOD00126,CRS016,2,69,100,2025-12-23,22,True
ASS0000083,STU00004,MOD00150,CRS019,1,93,100,2026-01-13,35,False
ASS0000084,STU00004,MOD00152,CRS019,1,86,100,2026-01-01,20,True
ASS0000085,STU00004,MOD00152,CRS019,2,71,100,2026-01-01,44,True
ASS0000086,STU00005,MOD00140,CRS018,1,83,100,2026-01-31,29,True
ASS0000087,STU00005,MOD00140,CRS018,2,85,100,2026-02-04,19,True
ASS0000088,STU00005,MOD00141,CRS018,1,78,100,2026-04-13,18,True
ASS0000089,STU00005,MOD00141,CRS018,2,53,100,2026-04-11,60,True
ASS0000090,STU00005,MOD00143,CRS018,1,63,100,2026-02-20,39,True
ASS0000091,STU00005,MOD00143,CRS018,2,97,100,2026-02-16,57,False
ASS0000092,STU00005,MOD00122,CRS016,1,50,100,2026-02-19,26,True
ASS0000093,STU00005,MOD00124,CRS016,1,57,100,2026-03-07,33,True
ASS0000094,STU00005,MOD00124,CRS016,2,51,100,2026-03-09,43,False
ASS0000095,STU00006,MOD00130,CRS017,1,50,100,2025-10-24,28,False
ASS0000096,STU00006,MOD00130,CRS017,2,64,100,2025-10-27,54,True
ASS0000097,STU00006,MOD00130,CRS017,3,53,100,2025-10-28,47,True
ASS0000098,STU00006,MOD00131,CRS017,1,52,100,2025-09-10,54,False
ASS0000099,STU00006,MOD00132,CRS017,1,78,100,2025-09-25,23,True
ASS0000100,STU00006,MOD00132,CRS017,2,52,100,2025-09-25,58,False
ASS0000101,STU00006,MOD00134,CRS017,1,64,100,2025-09-03,47,True
ASS0000102,STU00006,MOD00134,CRS017,2,87,100,2025-09-02,26,False
ASS0000103,STU00006,MOD00134,CRS017,3,92,100,2025-08-30,36,True
ASS0000104,STU00006,MOD00135,CRS017,1,53,100,2025-11-17,43,True
ASS0000105,STU00006,MOD00136,CRS017,1,62,100,2025-10-31,52,True
ASS0000106,STU00006,MOD00136,CRS017,2,75,100,2025-10-31,30,True
ASS0000107,STU00007,MOD00009,CRS002,1,49,100,2025-08-17,20,True
ASS0000108,STU00007,MOD00009,CRS002,2,41,100,2025-08-15,38,True
ASS0000109,STU00007,MOD00009,CRS002,3,83,100,2025-08-16,39,True
ASS0000110,STU00007,MOD00010,CRS002,1,74,100,2025-08-04,59,True
ASS0000111,STU00007,MOD00010,CRS002,2,69,100,2025-08-06,47,True
ASS0000112,STU00007,MOD00013,CRS002,1,61,100,2025-06-24,11,False
ASS0000113,STU00007,MOD00013,CRS002,2,88,100,2025-06-25,19,True
ASS0000114,STU00007,MOD00014,CRS002,1,95,100,2025-07-07,38,True
ASS0000115,STU00007,MOD00015,CRS002,1,47,100,2025-07-20,21,True
ASS0000116,STU00007,MOD00015,CRS002,2,84,100,2025-07-20,15,True
ASS0000117,STU00007,MOD00015,CRS002,3,74,100,2025-07-21,49,True
ASS0000118,STU00007,MOD00016,CRS002,1,62,100,2025-06-06,60,False
ASS0000119,STU00008,MOD00040,CRS005,1,68,100,2026-05-02,38,False
ASS0000120,STU00008,MOD00040,CRS005,2,94,100,2026-05-04,21,True
ASS0000121,STU00008,MOD00059,CRS008,1,96,100,2026-01-24,24,True
ASS0000122,STU00008,MOD00062,CRS008,1,59,100,2026-01-25,38,True
ASS0000123,STU00008,MOD00062,CRS008,2,64,100,2026-01-28,21,True
ASS0000124,STU00008,MOD00017,CRS003,1,68,100,2026-04-11,25,True
ASS0000125,STU00008,MOD00018,CRS003,1,75,100,2026-03-22,34,False
ASS0000126,STU00008,MOD00018,CRS003,2,98,100,2026-03-22,14,True
ASS0000127,STU00008,MOD00020,CRS003,1,70,100,2026-04-01,23,True
ASS0000128,STU00008,MOD00020,CRS003,2,96,100,2026-03-31,22,True
ASS0000129,STU00008,MOD00022,CRS003,1,88,100,2026-03-25,39,True
ASS0000130,STU00008,MOD00022,CRS003,2,77,100,2026-03-27,13,True
ASS0000131,STU00008,MOD00023,CRS003,1,57,100,2026-03-08,44,True
ASS0000132,STU00008,MOD00023,CRS003,2,62,100,2026-03-09,39,True
ASS0000133,STU00008,MOD00023,CRS003,3,72,100,2026-03-08,50,True
ASS0000134,STU00008,MOD00154,CRS020,1,84,100,2025-12-17,47,False
ASS0000135,STU00008,MOD00154,CRS020,2,72,100,2025-12-16,50,True
ASS0000136,STU00008,MOD00155,CRS020,1,61,100,2026-02-17,50,False
ASS0000137,STU00008,MOD00155,CRS020,2,70,100,2026-02-17,55,True
ASS0000138,STU00008,MOD00155,CRS020,3,98,100,2026-02-14,30,True
ASS0000139,STU00008,MOD00156,CRS020,1,67,100,2025-12-07,59,True
ASS0000140,STU00008,MOD00158,CRS020,1,86,100,2025-12-13,29,True
ASS0000141,STU00008,MOD00158,CRS020,2,85,100,2025-12-17,46,True
ASS0000142,STU00008,MOD00158,CRS020,3,95,100,2025-12-17,36,True
ASS0000143,STU00008,MOD00160,CRS020,1,56,100,2026-02-12,49,False
ASS0000144,STU00008,MOD00160,CRS020,2,79,100,2026-02-10,11,True
ASS0000145,STU00009,MOD00121,CRS016,1,35,100,2025-12-15,55,True
ASS0000146,STU00009,MOD00121,CRS016,2,99,100,2025-12-13,33,False
ASS0000147,STU00009,MOD00122,CRS016,1,81,100,2025-12-15,48,True
ASS0000148,STU00009,MOD00153,CRS020,1,37,100,2026-04-19,43,True
ASS0000149,STU00009,MOD00153,CRS020,2,80,100,2026-04-19,34,False
ASS0000150,STU00009,MOD00153,CRS020,3,55,100,2026-04-21,45,True
ASS0000151,STU00009,MOD00154,CRS020,1,31,100,2026-07-11,41,False
ASS0000152,STU00009,MOD00154,CRS020,2,76,100,2026-07-07,38,False
ASS0000153,STU00009,MOD00154,CRS020,3,87,100,2026-07-08,10,False
ASS0000154,STU00009,MOD00156,CRS020,1,41,100,2026-07-08,42,True
ASS0000155,STU00009,MOD00156,CRS020,2,71,100,2026-07-11,32,True
ASS0000156,STU00009,MOD00156,CRS020,3,75,100,2026-07-10,51,True
ASS0000157,STU00009,MOD00158,CRS020,1,53,100,2026-06-05,13,True
ASS0000158,STU00009,MOD00159,CRS020,1,86,100,2026-06-13,59,False
ASS0000159,STU00009,MOD00159,CRS020,2,55,100,2026-06-09,59,True
ASS0000160,STU00009,MOD00159,CRS020,3,76,100,2026-06-09,10,True
ASS0000161,STU00009,MOD00001,CRS001,1,45,100,2026-04-02,58,False
ASS0000162,STU00009,MOD00001,CRS001,2,75,100,2026-03-31,60,False
ASS0000163,STU00009,MOD00137,CRS018,1,90,100,2025-11-19,48,True
ASS0000164,STU00009,MOD00137,CRS018,2,75,100,2025-11-16,15,True
ASS0000165,STU00009,MOD00137,CRS018,3,96,100,2025-11-19,54,False
ASS0000166,STU00009,MOD00138,CRS018,1,45,100,2025-12-25,41,True
ASS0000167,STU00009,MOD00138,CRS018,2,36,100,2025-12-26,54,True
ASS0000168,STU00009,MOD00138,CRS018,3,100,100,2025-12-25,18,True
ASS0000169,STU00009,MOD00139,CRS018,1,53,100,2025-10-22,18,False
ASS0000170,STU00009,MOD00139,CRS018,2,61,100,2025-10-25,12,True
ASS0000171,STU00009,MOD00142,CRS018,1,62,100,2025-12-10,46,True
ASS0000172,STU00009,MOD00142,CRS018,2,90,100,2025-12-14,30,True
ASS0000173,STU00009,MOD00144,CRS018,1,46,100,2026-01-14,15,True
ASS0000174,STU00009,MOD00144,CRS018,2,38,100,2026-01-15,57,False
ASS0000175,STU00009,MOD00144,CRS018,3,91,100,2026-01-10,27,True
ASS0000176,STU00009,MOD00109,CRS014,1,99,100,2026-02-15,60,False
ASS0000177,STU00010,MOD00041,CRS006,1,74,100,2026-06-15,58,True
ASS0000178,STU00010,MOD00041,CRS006,2,59,100,2026-06-18,51,False
ASS0000179,STU00010,MOD00041,CRS006,3,86,100,2026-06-14,41,True
ASS0000180,STU00010,MOD00042,CRS006,1,72,100,2026-06-16,53,True
ASS0000181,STU00010,MOD00043,CRS006,1,89,100,2026-04-20,33,True
ASS0000182,STU00010,MOD00043,CRS006,2,62,100,2026-04-22,45,False
ASS0000183,STU00010,MOD00044,CRS006,1,56,100,2026-05-24,32,True
ASS0000184,STU00010,MOD00047,CRS006,1,30,100,2026-05-13,47,True
ASS0000185,STU00010,MOD00047,CRS006,2,62,100,2026-05-15,16,True
ASS0000186,STU00010,MOD00025,CRS004,1,71,100,2026-06-09,31,True
ASS0000187,STU00010,MOD00025,CRS004,2,94,100,2026-06-09,38,True
ASS0000188,STU00010,MOD00029,CRS004,1,78,100,2026-04-28,17,True
ASS0000189,STU00010,MOD00029,CRS004,2,85,100,2026-04-26,34,True
ASS0000190,STU00010,MOD00031,CRS004,1,90,100,2026-04-30,27,True
ASS0000191,STU00010,MOD00147,CRS019,1,65,100,2026-06-28,17,True
ASS0000192,STU00010,MOD00147,CRS019,2,55,100,2026-07-01,31,True
ASS0000193,STU00010,MOD00148,CRS019,1,48,100,2026-05-24,51,False
ASS0000194,STU00010,MOD00148,CRS019,2,79,100,2026-05-25,18,True
ASS0000195,STU00010,MOD00148,CRS019,3,51,100,2026-05-25,58,True
ASS0000196,STU00010,MOD00150,CRS019,1,76,100,2026-04-14,52,True
ASS0000197,STU00010,MOD00150,CRS019,2,67,100,2026-04-14,44,True
ASS0000198,STU00010,MOD00152,CRS019,1,61,100,2026-05-23,20,True
ASS0000199,STU00011,MOD00098,CRS013,1,60,100,2025-11-16,53,False
ASS0000200,STU00011,MOD00098,CRS013,2,38,100,2025-11-19,45,False
ASS0000201,STU00011,MOD00098,CRS013,3,77,100,2025-11-16,41,False
ASS0000202,STU00011,MOD00103,CRS013,1,41,100,2025-11-10,47,True
ASS0000203,STU00011,MOD00103,CRS013,2,98,100,2025-11-08,56,True
ASS0000204,STU00011,MOD00017,CRS003,1,87,100,2026-01-28,32,False
ASS0000205,STU00011,MOD00017,CRS003,2,95,100,2026-01-26,12,True
ASS0000206,STU00011,MOD00018,CRS003,1,61,100,2026-03-10,51,False
ASS0000207,STU00011,MOD00018,CRS003,2,54,100,2026-03-07,10,True
ASS0000208,STU00011,MOD00020,CRS003,1,42,100,2026-02-20,36,True
ASS0000209,STU00011,MOD00020,CRS003,2,76,100,2026-02-18,28,True
ASS0000210,STU00011,MOD00020,CRS003,3,96,100,2026-02-17,16,False
ASS0000211,STU00011,MOD00022,CRS003,1,72,100,2026-02-16,26,True
ASS0000212,STU00011,MOD00022,CRS003,2,51,100,2026-02-17,56,True
ASS0000213,STU00011,MOD00022,CRS003,3,67,100,2026-02-19,24,True
ASS0000214,STU00011,MOD00023,CRS003,1,71,100,2026-02-15,54,True
ASS0000215,STU00011,MOD00024,CRS003,1,84,100,2026-02-10,18,True
ASS0000216,STU00011,MOD00024,CRS003,2,63,100,2026-02-10,43,True
ASS0000217,STU00011,MOD00024,CRS003,3,82,100,2026-02-08,51,True
ASS0000218,STU00011,MOD00090,CRS012,1,60,100,2025-07-12,31,True
ASS0000219,STU00011,MOD00093,CRS012,1,71,100,2025-06-28,21,True
ASS0000220,STU00012,MOD00073,CRS010,1,89,100,2026-02-13,26,True
ASS0000221,STU00012,MOD00073,CRS010,2,75,100,2026-02-11,47,False
ASS0000222,STU00012,MOD00075,CRS010,1,64,100,2026-02-19,26,True
ASS0000223,STU00012,MOD00077,CRS010,1,64,100,2026-02-14,10,True
ASS0000224,STU00012,MOD00079,CRS010,1,86,100,2026-02-25,53,True
ASS0000225,STU00012,MOD00079,CRS010,2,61,100,2026-02-23,31,False
ASS0000226,STU00012,MOD00079,CRS010,3,60,100,2026-02-27,60,False
ASS0000227,STU00012,MOD00080,CRS010,1,86,100,2026-02-08,52,True
ASS0000228,STU00012,MOD00080,CRS010,2,76,100,2026-02-13,12,True
ASS0000229,STU00012,MOD00080,CRS010,3,69,100,2026-02-13,50,False
ASS0000230,STU00013,MOD00017,CRS003,1,92,100,2026-02-14,18,False
ASS0000231,STU00013,MOD00018,CRS003,1,64,100,2026-02-19,44,True
ASS0000232,STU00013,MOD00020,CRS003,1,43,100,2026-01-22,29,True
ASS0000233,STU00013,MOD00020,CRS003,2,88,100,2026-01-25,32,False
ASS0000234,STU00013,MOD00020,CRS003,3,100,100,2026-01-26,18,False
ASS0000235,STU00013,MOD00021,CRS003,1,72,100,2025-12-28,36,True
ASS0000236,STU00013,MOD00021,CRS003,2,84,100,2026-01-01,35,True
ASS0000237,STU00013,MOD00023,CRS003,1,66,100,2025-12-03,50,True
ASS0000238,STU00013,MOD00023,CRS003,2,62,100,2025-12-02,31,True
ASS0000239,STU00014,MOD00140,CRS018,1,76,100,2025-09-22,29,True
ASS0000240,STU00014,MOD00140,CRS018,2,54,100,2025-09-22,46,True
ASS0000241,STU00014,MOD00141,CRS018,1,74,100,2025-10-14,54,False
ASS0000242,STU00014,MOD00141,CRS018,2,83,100,2025-10-15,55,True
ASS0000243,STU00014,MOD00141,CRS018,3,69,100,2025-10-14,30,True
ASS0000244,STU00014,MOD00143,CRS018,1,45,100,2025-10-08,20,True
ASS0000245,STU00014,MOD00143,CRS018,2,74,100,2025-10-10,41,True
ASS0000246,STU00014,MOD00144,CRS018,1,84,100,2025-10-04,47,True
ASS0000247,STU00014,MOD00144,CRS018,2,59,100,2025-10-02,23,False
ASS0000248,STU00014,MOD00123,CRS016,1,71,100,2025-10-09,43,True
ASS0000249,STU00014,MOD00123,CRS016,2,55,100,2025-10-13,35,True
ASS0000250,STU00014,MOD00123,CRS016,3,75,100,2025-10-12,25,True
ASS0000251,STU00014,MOD00125,CRS016,1,100,100,2025-08-26,12,True
ASS0000252,STU00014,MOD00127,CRS016,1,56,100,2025-10-15,26,True
ASS0000253,STU00014,MOD00009,CRS002,1,74,100,2025-10-23,21,True
ASS0000254,STU00014,MOD00012,CRS002,1,80,100,2025-09-15,39,False
ASS0000255,STU00014,MOD00012,CRS002,2,78,100,2025-09-16,53,True
ASS0000256,STU00014,MOD00012,CRS002,3,92,100,2025-09-14,17,False
ASS0000257,STU00014,MOD00002,CRS001,1,89,100,2025-11-08,26,False
ASS0000258,STU00014,MOD00002,CRS001,2,90,100,2025-11-10,33,True
ASS0000259,STU00014,MOD00002,CRS001,3,67,100,2025-11-10,35,True
ASS0000260,STU00014,MOD00004,CRS001,1,61,100,2025-12-05,40,True
ASS0000261,STU00014,MOD00005,CRS001,1,81,100,2026-01-11,56,True
ASS0000262,STU00014,MOD00005,CRS001,2,68,100,2026-01-16,39,True
ASS0000263,STU00014,MOD00005,CRS001,3,64,100,2026-01-14,16,True
ASS0000264,STU00014,MOD00007,CRS001,1,45,100,2025-11-22,33,True
ASS0000265,STU00014,MOD00007,CRS001,2,40,100,2025-11-20,23,True
ASS0000266,STU00014,MOD00007,CRS001,3,69,100,2025-11-19,48,True
ASS0000267,STU00015,MOD00145,CRS019,1,84,100,2026-04-22,16,True
ASS0000268,STU00015,MOD00145,CRS019,2,94,100,2026-04-20,19,False
ASS0000269,STU00015,MOD00146,CRS019,1,90,100,2026-04-09,13,True
ASS0000270,STU00015,MOD00146,CRS019,2,82,100,2026-04-08,41,True
ASS0000271,STU00015,MOD00146,CRS019,3,52,100,2026-04-08,46,True
ASS0000272,STU00015,MOD00148,CRS019,1,56,100,2026-03-23,33,True
ASS0000273,STU00015,MOD00148,CRS019,2,98,100,2026-03-25,15,True
ASS0000274,STU00015,MOD00149,CRS019,1,66,100,2026-05-12,53,True
ASS0000275,STU00015,MOD00149,CRS019,2,64,100,2026-05-14,26,False
ASS0000276,STU00015,MOD00150,CRS019,1,54,100,2026-05-29,47,True
ASS0000277,STU00015,MOD00150,CRS019,2,87,100,2026-05-27,57,True
ASS0000278,STU00015,MOD00026,CRS004,1,82,100,2025-09-26,19,True
ASS0000279,STU00015,MOD00027,CRS004,1,40,100,2025-08-06,16,True
ASS0000280,STU00015,MOD00027,CRS004,2,71,100,2025-08-06,24,True
ASS0000281,STU00015,MOD00027,CRS004,3,63,100,2025-08-08,50,True
ASS0000282,STU00015,MOD00028,CRS004,1,40,100,2025-08-25,13,True
ASS0000283,STU00015,MOD00028,CRS004,2,89,100,2025-08-28,15,True
ASS0000284,STU00015,MOD00028,CRS004,3,96,100,2025-08-29,54,True
ASS0000285,STU00015,MOD00032,CRS004,1,72,100,2025-09-09,36,True
ASS0000286,STU00015,MOD00032,CRS004,2,74,100,2025-09-11,26,True
ASS0000287,STU00015,MOD00032,CRS004,3,78,100,2025-09-09,37,True
ASS0000288,STU00015,MOD00134,CRS017,1,42,100,2025-05-13,10,True
ASS0000289,STU00015,MOD00134,CRS017,2,54,100,2025-05-10,15,False
ASS0000290,STU00015,MOD00135,CRS017,1,69,100,2025-05-16,26,False
ASS0000291,STU00015,MOD00135,CRS017,2,92,100,2025-05-14,19,True
ASS0000292,STU00016,MOD00124,CRS016,1,61,100,2025-07-10,15,True
ASS0000293,STU00016,MOD00124,CRS016,2,75,100,2025-07-12,53,False
ASS0000294,STU00016,MOD00124,CRS016,3,95,100,2025-07-15,31,True
ASS0000295,STU00016,MOD00125,CRS016,1,66,100,2025-08-09,53,True
ASS0000296,STU00016,MOD00125,CRS016,2,47,100,2025-08-13,32,True
ASS0000297,STU00016,MOD00125,CRS016,3,67,100,2025-08-13,46,False
ASS0000298,STU00016,MOD00127,CRS016,1,81,100,2025-06-05,47,True
ASS0000299,STU00016,MOD00127,CRS016,2,75,100,2025-06-04,48,True
ASS0000300,STU00016,MOD00127,CRS016,3,90,100,2025-06-07,52,True
ASS0000301,STU00016,MOD00066,CRS009,1,57,100,2026-04-23,28,True
ASS0000302,STU00016,MOD00068,CRS009,1,35,100,2026-03-02,18,False
ASS0000303,STU00016,MOD00068,CRS009,2,78,100,2026-03-02,11,True
ASS0000304,STU00016,MOD00069,CRS009,1,35,100,2026-04-18,20,True
ASS0000305,STU00016,MOD00069,CRS009,2,93,100,2026-04-17,42,True
ASS0000306,STU00016,MOD00070,CRS009,1,79,100,2026-03-29,51,True
ASS0000307,STU00016,MOD00070,CRS009,2,31,100,2026-03-26,17,False
ASS0000308,STU00016,MOD00070,CRS009,3,97,100,2026-03-29,32,True
ASS0000309,STU00016,MOD00071,CRS009,1,47,100,2026-04-25,15,True
ASS0000310,STU00016,MOD00071,CRS009,2,66,100,2026-04-26,12,False
ASS0000311,STU00016,MOD00071,CRS009,3,69,100,2026-04-21,47,True
ASS0000312,STU00016,MOD00072,CRS009,1,55,100,2026-04-05,58,False
ASS0000313,STU00016,MOD00072,CRS009,2,59,100,2026-04-01,50,True
ASS0000314,STU00016,MOD00010,CRS002,1,72,100,2026-06-13,46,True
ASS0000315,STU00016,MOD00010,CRS002,2,96,100,2026-06-13,39,True
ASS0000316,STU00016,MOD00011,CRS002,1,79,100,2026-05-21,16,True
ASS0000317,STU00016,MOD00011,CRS002,2,71,100,2026-05-22,42,False
ASS0000318,STU00016,MOD00013,CRS002,1,85,100,2026-06-16,37,True
ASS0000319,STU00016,MOD00014,CRS002,1,67,100,2026-05-05,59,False
ASS0000320,STU00016,MOD00016,CRS002,1,67,100,2026-06-22,53,True
ASS0000321,STU00016,MOD00016,CRS002,2,68,100,2026-06-24,23,True
ASS0000322,STU00016,MOD00016,CRS002,3,67,100,2026-06-19,12,True
ASS0000323,STU00016,MOD00149,CRS019,1,39,100,2025-12-13,51,True
ASS0000324,STU00016,MOD00149,CRS019,2,60,100,2025-12-17,33,True
ASS0000325,STU00016,MOD00152,CRS019,1,47,100,2026-01-19,42,True
ASS0000326,STU00016,MOD00152,CRS019,2,55,100,2026-01-19,52,False
ASS0000327,STU00016,MOD00152,CRS019,3,84,100,2026-01-18,36,True
ASS0000328,STU00017,MOD00145,CRS019,1,74,100,2026-03-07,14,True
ASS0000329,STU00017,MOD00145,CRS019,2,35,100,2026-03-08,25,True
ASS0000330,STU00017,MOD00145,CRS019,3,86,100,2026-03-06,12,True
ASS0000331,STU00017,MOD00146,CRS019,1,87,100,2026-02-20,23,True
ASS0000332,STU00017,MOD00146,CRS019,2,61,100,2026-02-25,55,True
ASS0000333,STU00017,MOD00146,CRS019,3,59,100,2026-02-22,19,True
ASS0000334,STU00017,MOD00147,CRS019,1,38,100,2026-04-25,27,True
ASS0000335,STU00017,MOD00147,CRS019,2,100,100,2026-04-27,34,False
ASS0000336,STU00017,MOD00148,CRS019,1,65,100,2026-05-14,60,True
ASS0000337,STU00017,MOD00151,CRS019,1,33,100,2026-03-06,30,True
ASS0000338,STU00017,MOD00151,CRS019,2,56,100,2026-03-08,20,True
ASS0000339,STU00017,MOD00152,CRS019,1,47,100,2026-04-24,56,True
ASS0000340,STU00017,MOD00152,CRS019,2,88,100,2026-04-25,42,True
ASS0000341,STU00017,MOD00152,CRS019,3,52,100,2026-04-22,13,True
ASS0000342,STU00017,MOD00033,CRS005,1,46,100,2026-03-25,17,True
ASS0000343,STU00017,MOD00033,CRS005,2,74,100,2026-03-24,49,True
ASS0000344,STU00017,MOD00034,CRS005,1,45,100,2026-04-03,50,True
ASS0000345,STU00017,MOD00034,CRS005,2,55,100,2026-04-02,12,False
ASS0000346,STU00017,MOD00034,CRS005,3,77,100,2026-04-04,42,True
ASS0000347,STU00017,MOD00036,CRS005,1,88,100,2026-05-02,39,True
