enrollment_id,student_id,course_id,enrollment_date,status
ENR000071,STU00025,CRS017,2025-07-22,Completed
ENR000072,STU00025,CRS014,2025-09-23,Completed
ENR000073,STU00025,CRS004,2026-02-23,Completed
ENR000074,STU00025,CRS001,2025-08-24,Dropped
ENR000075,STU00026,CRS010,2025-11-14,Completed
ENR000076,STU00027,CRS018,2026-04-02,Dropped
ENR000077,STU00028,CRS019,2025-09-12,Active
ENR000078,STU00028,CRS017,2025-06-20,Active
ENR000079,STU00029,CRS009,2026-02-26,Active
ENR000080,STU00029,CRS010,2026-02-26,Active
ENR000081,STU00030,CRS014,2025-12-12,Completed
ENR000082,STU00030,CRS009,2026-03-24,Completed
ENR000083,STU00031,CRS012,2026-02-25,Active
ENR000084,STU00032,CRS016,2026-04-03,Completed
ENR000085,STU00032,CRS007,2026-04-03,Active
ENR000086,STU00033,CRS013,2026-01-24,Active
ENR000087,STU00034,CRS013,2025-05-07,Dropped
ENR000088,STU00034,CRS011,2026-03-01,Dropped
ENR000089,STU00034,CRS015,2025-10-31,Dropped
ENR000090,STU00034,CRS019,2025-04-23,Active
ENR000091,STU00034,CRS014,2025-09-06,Active
ENR000092,STU00035,CRS016,2026-01-18,Active
ENR000093,STU00035,CRS011,2025-10-29,Active
ENR000094,STU00036,CRS010,2026-01-19,Active
ENR000095,STU00036,CRS016,2026-01-19,Active
ENR000096,STU00036,CRS008,2026-01-19,Completed
ENR000097,STU00037,CRS004,2026-03-04,Completed
ENR000098,STU00037,CRS019,2026-02-25,Completed
ENR000099,STU00037,CRS007,2026-02-25,Completed
ENR000100,STU00038,CRS001,2026-01-13,Dropped
ENR000101,STU00038,CRS015,2026-01-13,Active
ENR000102,STU00038,CRS007,2026-01-13,Dropped
ENR000103,STU00038,CRS019,2026-02-14,Completed
ENR000104,STU00038,CRS010,2026-01-13,Completed
ENR000105,STU00039,CRS010,2025-12-12,Active
ENR000106,STU00039,CRS008,2026-02-22,Active
ENR000107,STU00040,CRS013,2025-08-11,Completed
ENR000108,STU00040,CRS003,2025-10-05,Completed
ENR000109,STU00040,CRS015,2026-04-05,Dropped
ENR000110,STU00040,CRS016,2025-10-28,Dropped
ENR000111,STU00041,CRS018,2025-12-04,Active
ENR000112,STU00041,CRS002,2025-12-04,Active
ENR000113,STU00041,CRS012,2026-04-03,Completed
ENR000114,STU00041,CRS003,2025-12-25,Active
ENR000115,STU00042,CRS002,2025-07-26,Active
ENR000116,STU00042,CRS019,2025-11-18,Active
ENR000117,STU00042,CRS013,2025-11-30,Active
ENR000118,STU00042,CRS011,2025-12-02,Completed
ENR000119,STU00042,CRS014,2025-11-06,Completed
ENR000120,STU00043,CRS008,2026-03-18,Completed
ENR000121,STU00043,CRS015,2026-03-18,Completed
ENR000122,STU00043,CRS012,2026-03-18,Completed
ENR000123,STU00043,CRS013,2026-03-18,Active
ENR000124,STU00043,CRS019,2026-03-18,Active
ENR000125,STU00044,CRS010,2026-02-02,Completed
ENR000126,STU00045,CRS004,2025-09-22,Dropped
ENR000127,STU00046,CRS012,2025-08-25,Active
ENR000128,STU00046,CRS010,2025-07-18,Completed
ENR000129,STU00047,CRS016,2025-08-03,Completed
ENR000130,STU00047,CRS012,2025-04-14,Completed
ENR000131,STU00047,CRS020,2026-02-06,Active
ENR000132,STU00047,CRS004,2026-02-18,Active
ENR000133,STU00047,CRS015,2025-08-17,Completed
ENR000134,STU00048,CRS011,2025-11-15,Completed
ENR000135,STU00049,CRS008,2026-03-10,Active
ENR000136,STU00049,CRS017,2026-03-17,Active
ENR000137,STU00050,CRS014,2026-03-26,Active
ENR000138,STU00050,CRS015,2025-12-26,Completed
ENR000139,STU00050,CRS008,2025-12-26,Active
ENR000140,STU00050,CRS013,2025-12-26,Completed
ENR000141,STU00050,CRS006,2025-12-26,Dropped
ENR000142,STU00051,CRS019,2025-07-07,Completed
ENR000143,STU00051,CRS014,2025-04-16,Active
ENR000144,STU00051,CRS013,2025-08-28,Completed
ENR000145,STU00051,CRS001,2025-09-11,Dropped
ENR000146,STU00052,CRS019,2025-11-05,Active
ENR000147,STU00053,CRS006,2025-09-05,Active
ENR000148,STU00053,CRS012,2025-06-12,Completed
ENR000149,STU00053,CRS011,2026-01-08,Completed
ENR000150,STU00053,CRS007,2025-09-03,Dropped
ENR000151,STU00053,CRS015,2025-08-30,Active
ENR000152,STU00054,CRS020,2025-07-19,Active
ENR000153,STU00054,CRS013,2025-09-15,Completed
ENR000154,STU00054,CRS004,2025-07-10,Active
ENR000155,STU00054,CRS012,2026-01-18,Completed
ENR000156,STU00055,CRS020,2026-03-13,Completed
ENR000157,STU00055,CRS019,2026-02-03,Active
ENR000158,STU00055,CRS003,2025-12-20,Active
ENR000159,STU00056,CRS006,2025-07-27,Active
ENR000160,STU00057,CRS017,2026-01-10,Completed
ENR000161,STU00057,CRS013,2026-02-04,Active
ENR000162,STU00058,CRS014,2025-09-12,Completed
ENR000163,STU00058,CRS006,2026-02-20,Completed
ENR000164,STU00058,CRS016,2025-06-19,Active
ENR000165,STU00058,CRS019,2025-07-28,Active
ENR000166,STU00059,CRS020,2025-12-03,Completed
ENR000167,STU00059,CRS002,2025-11-26,Active
ENR000168,STU00059,CRS012,2025-07-22,Active
ENR000169,STU00059,CRS001,2025-11-27,Completed
ENR000170,STU00060,CRS014,2026-02-05,Completed
ENR000171,STU00060,CRS016,2026-02-05,Active
ENR000172,STU00060,CRS020,2026-02-05,Active
ENR000173,STU00060,CRS015,2026-02-05,Completed
ENR000174,STU00061,CRS002,2025-06-21,Completed
ENR000175,STU00061,CRS009,2025-05-21,Active
ENR000176,STU00061,CRS008,2025-07-21,Completed
ENR000177,STU00062,CRS018,2025-12-31,Active
ENR000178,STU00062,CRS017,2026-01-05,Completed
ENR000179,STU00062,CRS004,2025-07-08,Dropped
ENR000180,STU00062,CRS020,2025-06-08,Completed
ENR000181,STU00063,CRS015,2025-10-11,Completed
ENR000182,STU00064,CRS004,2025-09-07,Completed
ENR000183,STU00064,CRS008,2025-09-07,Active
ENR000184,STU00064,CRS010,2026-01-31,Dropped
ENR000185,STU00064,CRS002,2026-04-14,Completed
ENR000186,STU00065,CRS008,2025-09-30,Active
ENR000187,STU00066,CRS012,2026-01-28,Dropped
ENR000188,STU00066,CRS014,2025-08-12,Dropped
ENR000189,STU00066,CRS006,2026-02-16,Completed
ENR000190,STU00066,CRS005,2026-03-28,Completed
ENR000191,STU00066,CRS007,2025-06-20,Completed
ENR000192,STU00067,CRS011,2026-01-22,Active
ENR000193,STU00067,CRS010,2025-05-10,Active
ENR000194,STU00068,CRS004,2026-03-17,Dropped
ENR000195,STU00068,CRS005,2026-03-17,Active
ENR000196,STU00068,CRS014,2026-03-17,Dropped
ENR000197,STU00068,CRS002,2026-03-17,Active
ENR000198,STU00068,CRS009,2026-03-17,Completed
ENR000199,STU00069,CRS013,2025-07-08,Active
ENR000200,STU00069,CRS016,2026-01-20,Completed
ENR000201,STU00070,CRS013,2025-07-14,Completed
ENR000202,STU00070,CRS015,2026-01-21,Completed
ENR000203,STU00070,CRS003,2025-09-23,Completed
ENR000204,STU00070,CRS018,2026-01-08,Dropped
ENR000205,STU00071,CRS016,2025-04-26,Completed
ENR000206,STU00071,CRS011,2025-09-29,Completed
ENR000207,STU00071,CRS001,2026-01-21,Completed
ENR000208,STU00071,CRS003,2025-10-21,Active
ENR000209,STU00072,CRS018,2026-04-08,Active
ENR000210,STU00073,CRS007,2025-10-04,Dropped
ENR000211,STU00073,CRS016,2025-12-19,Active
ENR000212,STU00073,CRS009,2025-08-06,Completed
ENR000213,STU00073,CRS011,2025-08-10,Completed
ENR000214,STU00074,CRS011,2025-11-30,Completed
ENR000215,STU00074,CRS002,2025-05-21,Dropped
ENR000216,STU00074,CRS019,2026-03-23,Active
ENR000217,STU00074,CRS004,2025-10-21,Dropped
ENR000218,STU00075,CRS015,2025-07-15,Active
ENR000219,STU00075,CRS020,2025-12-03,Dropped
ENR000220,STU00076,CRS005,2025-06-25,Active
ENR000221,STU00076,CRS010,2026-03-04,Dropped
ENR000222,STU00077,CRS003,2026-02-24,Active
ENR000223,STU00077,CRS012,2025-07-02,Completed
ENR000224,STU00077,CRS009,2025-05-25,Completed
ENR000225,STU00078,CRS013,2025-12-01,Completed
ENR000226,STU00079,CRS014,2025-08-10,Completed
ENR000227,STU00079,CRS003,2025-06-14,Active
ENR000228,STU00080,CRS003,2025-07-24,Completed
ENR000229,STU00080,CRS005,2025-05-27,Active
ENR000230,STU00080,CRS008,2026-01-27,Completed
ENR000231,STU00080,CRS017,2025-04-17,Dropped
ENR000232,STU00081,CRS005,2025-06-18,Active
ENR000233,STU00081,CRS016,2026-01-25,Completed
ENR000234,STU00081,CRS003,2025-10-04,Active
ENR000235,STU00081,CRS008,2025-11-18,Active
ENR000236,STU00082,CRS005,2025-08-27,Completed
ENR000237,STU00082,CRS013,2025-08-09,Completed
ENR000238,STU00082,CRS020,2025-08-09,Active
ENR000239,STU00083,CRS001,2025-05-17,Completed
ENR000240,STU00083,CRS006,2025-11-26,Active
ENR000241,STU00083,CRS015,2026-03-20,Completed
ENR000242,STU00083,CRS012,2026-04-13,Completed
ENR000243,STU00083,CRS007,2025-11-28,Dropped
ENR000244,STU00084,CRS004,2025-08-10,Active
ENR000245,STU00085,CRS019,2025-12-05,Completed
ENR000246,STU00086,CRS014,2026-03-04,Active
ENR000247,STU00086,CRS011,2026-03-04,Completed
ENR000248,STU00086,CRS005,2026-03-04,Active
ENR000249,STU00087,CRS020,2025-07-08,Completed
ENR000250,STU00087,CRS010,2026-04-08,Completed
ENR000251,STU00087,CRS001,2026-01-27,Completed
ENR000252,STU00087,CRS019,2026-01-15,Active
ENR000253,STU00087,CRS007,2026-02-02,Active
ENR000254,STU00088,CRS016,2025-09-21,Active
ENR000255,STU00088,CRS013,2025-06-23,Completed
ENR000256,STU00089,CRS003,2025-12-22,Active
ENR000257,STU00089,CRS017,2025-08-23,Dropped
ENR000258,STU00089,CRS001,2025-06-02,Completed
ENR000259,STU00089,CRS012,2026-03-08,Active
ENR000260,STU00089,CRS011,2025-10-08,Completed
ENR000261,STU00090,CRS003,2025-09-21,Active
ENR000262,STU00090,CRS001,2025-07-30,Active
ENR000263,STU00090,CRS020,2025-12-25,Active
ENR000264,STU00090,CRS019,2025-06-22,Completed
ENR000265,STU00091,CRS010,2026-03-24,Active
ENR000266,STU00091,CRS017,2026-03-24,Completed
ENR000267,STU00091,CRS014,2026-03-24,Completed
ENR000268,STU00091,CRS018,2026-03-24,Active
ENR000269,STU00091,CRS013,2026-03-24,Active
ENR000270,STU00092,CRS007,2026-03-14,Completed
ENR000271,STU00092,CRS005,2025-11-02,Completed
ENR000272,STU00092,CRS018,2025-07-13,Completed
ENR000273,STU00092,CRS011,2025-07-13,Completed
ENR000274,STU00092,CRS013,2025-07-31,Active
ENR000275,STU00093,CRS008,2025-07-19,Dropped
ENR000276,STU00093,CRS002,2025-08-26,Active
ENR000277,STU00093,CRS020,2025-07-03,Completed
ENR000278,STU00093,CRS003,2025-12-03,Active
ENR000279,STU00094,CRS004,2025-08-30,Completed
ENR000280,STU00094,CRS001,2025-06-20,Completed
ENR000281,STU00095,CRS016,2025-05-21,Completed
ENR000282,STU00095,CRS012,2026-02-21,Completed
ENR000283,STU00096,CRS006,2026-02-25,Completed
ENR000284,STU00096,CRS012,2026-02-25,Dropped
ENR000285,STU00096,CRS005,2026-02-25,Completed
ENR000286,STU00097,CRS001,2025-12-10,Active
ENR000287,STU00098,CRS009,2025-10-28,Completed
ENR000288,STU00098,CRS017,2025-09-02,Completed
ENR000289,STU00098,CRS003,2025-10-22,Active
ENR000290,STU00098,CRS020,2025-10-13,Completed
ENR000291,STU00099,CRS002,2026-04-06,Active
ENR000292,STU00099,CRS016,2026-04-06,Active
ENR000293,STU00099,CRS006,2026-04-06,Active
ENR000294,STU00100,CRS004,2025-12-04,Dropped
ENR000295,STU00100,CRS008,2025-05-24,Active
ENR000296,STU00100,CRS017,2025-10-22,Active
ENR000297,STU00100,CRS001,2025-05-08,Active
ENR000298,STU00100,CRS002,2026-02-13,Dropped
ENR000299,STU00101,CRS002,2025-05-31,Dropped
ENR000300,STU00101,CRS018,2026-02-27,Completed
ENR000301,STU00102,CRS008,2025-06-26,Dropped
ENR000302,STU00102,CRS011,2025-10-08,Active
ENR000303,STU00102,CRS020,2025-05-20,Dropped
ENR000304,STU00102,CRS014,2025-11-08,Completed
ENR000305,STU00103,CRS017,2026-02-14,Completed
ENR000306,STU00104,CRS006,2026-01-11,Active
ENR000307,STU00105,CRS002,2025-10-23,Completed
ENR000308,STU00105,CRS013,2025-12-26,Active
ENR000309,STU00105,CRS003,2025-07-16,Active
ENR000310,STU00105,CRS015,2025-08-26,Completed
ENR000311,STU00105,CRS010,2025-11-21,Active
ENR000312,STU00106,CRS019,2025-08-26,Completed
ENR000313,STU00106,CRS010,2026-03-20,Completed
ENR000314,STU00106,CRS008,2025-08-26,Completed
ENR000315,STU00107,CRS018,2025-10-10,Active
ENR000316,STU00107,CRS008,2026-03-05,Dropped
ENR000317,STU00108,CRS008,2025-05-13,Completed
ENR000318,STU00109,CRS011,2026-02-01,Active
ENR000319,STU00110,CRS010,2025-11-18,Dropped
ENR000320,STU00110,CRS004,2025-11-18,Completed
ENR000321,STU00110,CRS007,2026-03-23,Dropped
ENR000322,STU00110,CRS017,2025-11-18,Dropped
ENR000323,STU00111,CRS009,2025-08-27,Active
ENR000324,STU00111,CRS003,2025-12-29,Active
ENR000325,STU00112,CRS014,2026-02-09,Completed
ENR000326,STU00112,CRS012,2025-07-20,Completed
ENR000327,STU00112,CRS015,2025-04-28,Active
ENR000328,STU00112,CRS003,2025-05-09,Completed
ENR000329,STU00112,CRS004,2025-08-03,Active
ENR000330,STU00113,CRS008,2026-03-25,Active
ENR000331,STU00113,CRS010,2026-03-31,Active
ENR000332,STU00114,CRS011,2025-11-23,Active
ENR000333,STU00114,CRS020,2026-01-04,Dropped
ENR000334,STU00114,CRS015,2025-11-23,Active
ENR000335,STU00114,CRS009,2025-11-23,Completed
ENR000336,STU00115,CRS005,2025-10-23,Active
ENR000337,STU00116,CRS015,2026-02-12,Completed
ENR000338,STU00116,CRS011,2026-02-12,Dropped
ENR000339,STU00116,CRS014,2026-02-12,Active
ENR000340,STU00116,CRS004,2026-02-12,Active
ENR000341,STU00117,CRS004,2025-09-12,Dropped
ENR000342,STU00117,CRS003,2025-05-22,Active
ENR000343,STU00117,CRS006,2025-12-03,Completed
ENR000344,STU00118,CRS002,2026-03-06,Completed
ENR000345,STU00118,CRS007,2026-03-06,Dropped
ENR000346,STU00118,CRS011,2026-03-06,Active
ENR000347,STU00118,CRS005,2026-03-06,Active
ENR000348,STU00118,CRS003,2026-03-06,Active
ENR000349,STU00119,CRS001,2026-03-01,Dropped
ENR000350,STU00119,CRS013,2026-03-01,Completed
ENR000351,STU00120,CRS008,2025-08-15,Active
ENR000352,STU00120,CRS004,2025-06-10,Active
ENR000353,STU00120,CRS015,2026-04-14,Completed
ENR000354,STU00120,CRS019,2025-09-23,Active
ENR000355,STU00120,CRS005,2025-08-20,Active
ENR000356,STU00121,CRS012,2025-08-07,Active
ENR000357,STU00121,CRS003,2026-04-11,Active
ENR000358,STU00121,CRS009,2025-08-10,Dropped
ENR000359,STU00121,CRS019,2025-08-28,Completed
ENR000360,STU00122,CRS003,2026-01-18,Active
ENR000361,STU00122,CRS011,2025-12-11,Dropped
ENR000362,STU00123,CRS006,2026-01-04,Dropped
ENR000363,STU00124,CRS013,2025-11-22,Completed
ENR000364,STU00124,CRS016,2025-11-12,Active
ENR000365,STU00124,CRS001,2025-11-12,Active
ENR000366,STU00124,CRS020,2026-01-19,Active
ENR000367,STU00125,CRS015,2026-03-18,Completed
ENR000368,STU00125,CRS005,2025-07-15,Completed
ENR000369,STU00125,CRS002,2026-03-31,Completed
ENR000370,STU00126,CRS014,2025-11-07,Active
ENR000371,STU00126,CRS018,2025-11-07,Active
ENR000372,STU00126,CRS016,2026-01-04,Completed
ENR000373,STU00126,CRS002,2026-04-08,Completed
ENR000374,STU00127,CRS008,2025-11-18,Completed
ENR000375,STU00127,CRS018,2025-10-20,Completed
ENR000376,STU00127,CRS001,2026-04-12,Active
ENR000377,STU00127,CRS013,2025-08-28,Completed
ENR000378,STU00127,CRS012,2025-08-28,Active
ENR000379,STU00128,CRS006,2025-07-04,Completed
ENR000380,STU00128,CRS001,2026-02-21,Active
ENR000381,STU00128,CRS011,2025-05-19,Dropped
ENR000382,STU00129,CRS002,2026-02-08,Active
ENR000383,STU00129,CRS016,2025-12-22,Completed
ENR000384,STU00129,CRS017,2025-09-09,Active
ENR000385,STU00130,CRS004,2025-12-09,Completed
ENR000386,STU00130,CRS008,2025-12-09,Active
ENR000387,STU00131,CRS008,2026-03-18,Completed
ENR000388,STU00132,CRS012,2025-06-09,Completed
ENR000389,STU00132,CRS006,2025-05-29,Dropped
ENR000390,STU00132,CRS019,2025-08-22,Completed
ENR000391,STU00132,CRS008,2025-06-03,Dropped
ENR000392,STU00133,CRS012,2025-08-26,Dropped
ENR000393,STU00134,CRS005,2025-11-13,Active
ENR000394,STU00134,CRS019,2025-07-08,Active
ENR000395,STU00134,CRS007,2026-02-04,Active
ENR000396,STU00134,CRS016,2025-05-25,Completed
ENR000397,STU00134,CRS010,2025-09-07,Active
ENR000398,STU00135,CRS001,2026-03-15,Active
ENR000399,STU00135,CRS011,2026-01-07,Active
ENR000400,STU00135,CRS007,2026-01-03,Dropped
ENR000401,STU00135,CRS005,2026-01-29,Dropped
ENR000402,STU00136,CRS001,2025-06-16,Active
ENR000403,STU00137,CRS004,2026-02-10,Dropped
ENR000404,STU00137,CRS017,2025-12-22,Dropped
ENR000405,STU00138,CRS013,2025-11-10,Active
ENR000406,STU00138,CRS019,2026-03-12,Active
ENR000407,STU00138,CRS004,2025-11-17,Dropped
ENR000408,STU00139,CRS016,2025-08-01,Active
ENR000409,STU00139,CRS011,2026-01-06,Completed
ENR000410,STU00139,CRS006,2025-11-10,Active
ENR000411,STU00139,CRS012,2025-05-12,Active
ENR000412,STU00140,CRS005,2025-08-14,Dropped
ENR000413,STU00140,CRS006,2026-01-21,Dropped
ENR000414,STU00140,CRS001,2025-08-19,Active
ENR000415,STU00141,CRS002,2026-02-07,Dropped
ENR000416,STU00141,CRS006,2025-09-13,Active
ENR000417,STU00141,CRS011,2026-02-25,Completed
ENR000418,STU00141,CRS008,2026-02-26,Active
ENR000419,STU00141,CRS004,2025-07-05,Dropped
ENR000420,STU00142,CRS003,2025-12-08,Completed
ENR000421,STU00142,CRS011,2025-11-20,Active
ENR000422,STU00143,CRS003,2025-04-18,Active
ENR000423,STU00143,CRS012,2026-01-23,Active
ENR000424,STU00144,CRS002,2026-03-07,Active
ENR000425,STU00145,CRS006,2025-08-03,Active
ENR000426,STU00145,CRS014,2025-04-29,Active
ENR000427,STU00145,CRS016,2025-10-28,Dropped
ENR000428,STU00145,CRS013,2025-06-07,Completed
ENR000429,STU00146,CRS008,2025-10-14,Active
ENR000430,STU00146,CRS006,2025-07-03,Active
ENR000431,STU00146,CRS015,2025-05-02,Dropped
ENR000432,STU00146,CRS003,2026-01-06,Active
ENR000433,STU00146,CRS002,2025-09-04,Active
ENR000434,STU00147,CRS006,2025-09-24,Active
ENR000435,STU00147,CRS003,2025-11-17,Dropped
ENR000436,STU00147,CRS018,2025-10-15,Dropped
ENR000437,STU00147,CRS019,2025-07-04,Completed
ENR000438,STU00148,CRS006,2025-08-24,Active
ENR000439,STU00148,CRS014,2025-09-05,Active
ENR000440,STU00148,CRS020,2025-08-24,Active
ENR000441,STU00148,CRS002,2025-08-24,Completed
ENR000442,STU00149,CRS009,2025-11-09,Active
ENR000443,STU00149,CRS010,2025-05-02,Completed
ENR000444,STU00149,CRS019,2025-09-07,Dropped
ENR000445,STU00149,CRS008,2025-05-15,Active
ENR000446,STU00149,CRS004,2025-10-14,Active
ENR000447,STU00150,CRS003,2026-01-22,Active
ENR000448,STU00150,CRS010,2025-05-31,Active
ENR000449,STU00150,CRS016,2025-06-02,Completed
ENR000450,STU00150,CRS007,2025-11-04,Dropped
ENR000451,STU00151,CRS004,2025-10-09,Completed
ENR000452,STU00151,CRS010,2025-12-08,Completed
ENR000453,STU00151,CRS013,2025-06-24,Active
ENR000454,STU00151,CRS016,2025-11-25,Completed
ENR000455,STU00152,CRS012,2026-01-08,Active
ENR000456,STU00152,CRS013,2025-07-13,Completed
ENR000457,STU00153,CRS015,2025-05-10,Active
ENR000458,STU00153,CRS020,2026-01-23,Active
ENR000459,STU00153,CRS009,2025-08-10,Active
ENR000460,STU00154,CRS003,2026-03-18,Completed
ENR000461,STU00155,CRS014,2025-12-27,Dropped
ENR000462,STU00155,CRS019,2025-12-27,Completed
ENR000463,STU00155,CRS008,2025-12-27,Completed
ENR000464,STU00155,CRS002,2025-12-27,Dropped
ENR000465,STU00155,CRS013,2025-12-27,Completed
ENR000466,STU00156,CRS016,2026-03-22,Active
ENR000467,STU00156,CRS010,2026-03-22,Dropped
ENR000468,STU00157,CRS017,2025-08-03,Completed
ENR000469,STU00158,CRS019,2026-04-10,Dropped
ENR000470,STU00158,CRS005,2025-11-25,Active
ENR000471,STU00158,CRS004,2026-04-11,Active
ENR000472,STU00158,CRS015,2025-09-22,Active
ENR000473,STU00158,CRS006,2025-06-06,Active
ENR000474,STU00159,CRS014,2025-04-30,Active
ENR000475,STU00160,CRS020,2026-02-07,Active
ENR000476,STU00160,CRS009,2025-06-26,Completed
ENR000477,STU00161,CRS003,2025-09-22,Active
ENR000478,STU00162,CRS018,2026-01-16,Completed
ENR000479,STU00162,CRS011,2026-02-20,Dropped
ENR000480,STU00162,CRS009,2025-11-08,Completed
ENR000481,STU00162,CRS017,2025-11-08,Completed
ENR000482,STU00163,CRS014,2026-03-27,Completed
ENR000483,STU00163,CRS004,2026-03-19,Completed
ENR000484,STU00163,CRS020,2026-02-25,Dropped
ENR000485,STU00163,CRS005,2026-02-08,Active
ENR000486,STU00163,CRS017,2025-05-04,Active
ENR000487,STU00164,CRS010,2025-12-23,Dropped
ENR000488,STU00165,CRS014,2026-02-04,Completed
ENR000489,STU00165,CRS009,2026-02-04,Completed
ENR000490,STU00165,CRS013,2026-02-04,Completed
ENR000491,STU00166,CRS009,2025-06-29,Active
ENR000492,STU00166,CRS013,2025-10-27,Completed
ENR000493,STU00167,CRS002,2025-06-27,Active
ENR000494,STU00167,CRS013,2025-10-22,Completed
ENR000495,STU00167,CRS011,2025-07-17,Active
ENR000496,STU00167,CRS008,2025-10-07,Active
ENR000497,STU00168,CRS010,2026-01-06,Dropped
ENR000498,STU00168,CRS020,2025-06-04,Dropped
ENR000499,STU00168,CRS009,2025-12-25,Completed
ENR000500,STU00169,CRS005,2025-04-20,Dropped
ENR000501,STU00169,CRS010,2025-11-13,Completed
ENR000502,STU00170,CRS009,2025-12-12,Active
ENR000503,STU00170,CRS014,2025-04-29,Active
ENR000504,STU00170,CRS003,2025-06-15,Dropped
ENR000505,STU00171,CRS017,2025-07-26,Completed
ENR000506,STU00171,CRS012,2026-01-27,Active
ENR000507,STU00171,CRS002,2025-11-26,Completed
ENR000508,STU00171,CRS020,2025-05-03,Completed
ENR000509,STU00172,CRS019,2026-04-06,Dropped
ENR000510,STU00172,CRS001,2026-04-06,Active
ENR000511,STU00172,CRS006,2026-04-06,Completed
ENR000512,STU00172,CRS007,2026-04-06,Dropped
ENR000513,STU00172,CRS017,2026-04-06,Completed
ENR000514,STU00173,CRS012,2025-12-11,Active
ENR000515,STU00173,CRS015,2026-02-24,Dropped
ENR000516,STU00173,CRS017,2025-04-20,Completed
ENR000517,STU00174,CRS012,2026-02-25,Completed
ENR000518,STU00174,CRS016,2025-12-07,Active
ENR000519,STU00175,CRS019,2025-11-28,Active
ENR000520,STU00175,CRS018,2025-11-28,Dropped
ENR000521,STU00175,CRS012,2026-04-06,Completed
