student_id,course_id,early_avg_time,early_avg_progress,early_modules_attempted,early_avg_score,early_assessments_taken,risk_flag
STU00055,CRS019,3.74,38.0,3,75.67,3,true
STU00056,CRS006,3.54,41.33,3,49.67,3,true
STU00057,CRS013,3.95,47.67,3,58.33,3,true
STU00057,CRS017,8.03,74.33,3,53.33,3,true
STU00059,CRS020,8.05,25.0,3,70.0,3,true
STU00060,CRS014,6.1,36.67,3,62.33,3,true
STU00060,CRS015,4.27,37.67,3,62.33,3,true
STU00060,CRS016,4.25,29.33,3,83.67,3,true
STU00060,CRS020,11.18,68.0,2,0.0,0,true
STU00062,CRS004,4.02,17.0,1,58.5,2,true
STU00062,CRS017,5.15,22.67,3,64.33,3,true
STU00062,CRS020,5.23,22.33,3,75.0,3,true
STU00063,CRS015,7.33,13.33,3,58.67,3,true
STU00064,CRS004,8.43,47.33,3,47.67,3,true
STU00064,CRS008,6.65,54.0,3,48.67,3,true
STU00065,CRS008,4.34,31.0,2,68.0,2,true
STU00066,CRS012,1.74,49.5,2,49.33,3,true
STU00068,CRS009,4.96,66.0,3,55.33,3,true
STU00069,CRS013,3.81,82.33,3,55.0,3,true
STU00070,CRS013,3.89,32.33,3,51.0,3,true
STU00070,CRS015,3.06,23.67,3,85.0,3,true
STU00070,CRS018,1.16,48.0,1,0.0,0,true
STU00071,CRS003,6.04,27.0,3,75.5,2,true
STU00071,CRS016,3.49,71.33,3,54.0,3,true
STU00074,CRS002,2.23,31.67,3,67.67,3,true
STU00075,CRS015,5.77,42.67,3,46.0,3,true
STU00076,CRS010,1.67,62.0,2,76.33,3,true
STU00077,CRS003,3.09,12.0,1,67.0,3,true
STU00077,CRS009,6.96,59.67,3,46.33,3,true
STU00078,CRS013,4.26,42.67,3,51.67,3,true
STU00079,CRS003,4.3,31.0,3,60.33,3,true
STU00080,CRS003,3.77,52.67,3,51.67,3,true
STU00081,CRS008,12.48,10.0,1,0.0,0,true
STU00081,CRS016,3.1,35.0,3,70.0,3,true
STU00082,CRS005,1.98,52.67,3,70.33,3,true
STU00082,CRS013,6.65,34.33,3,50.67,3,true
STU00083,CRS001,6.78,37.67,3,67.0,3,true
STU00085,CRS019,1.85,26.33,3,72.67,3,true
STU00086,CRS005,5.36,28.33,3,62.67,3,true
STU00086,CRS014,2.99,33.33,3,68.0,3,true
STU00087,CRS001,3.5,63.67,3,55.0,3,true
STU00087,CRS019,4.48,38.0,2,62.33,3,true
STU00087,CRS020,6.13,32.0,3,82.0,3,true
STU00089,CRS011,9.43,56.67,3,54.33,3,true
STU00090,CRS019,6.76,33.33,3,82.67,3,true
STU00090,CRS020,4.84,36.33,3,74.67,3,true
STU00091,CRS010,4.07,53.67,3,53.67,3,true
STU00091,CRS013,3.22,44.0,2,54.0,1,true
STU00092,CRS005,4.06,35.0,3,63.0,3,true
STU00092,CRS011,5.11,16.67,3,65.67,3,true
STU00092,CRS013,1.98,34.0,1,0.0,0,true
STU00093,CRS002,5.74,21.5,2,76.0,2,true
STU00094,CRS001,9.25,34.33,3,75.0,3,true
STU00094,CRS004,4.0,33.33,3,89.67,3,true
STU00096,CRS006,6.01,23.67,3,59.0,3,true
STU00098,CRS009,4.39,42.0,3,50.33,3,true
STU00098,CRS020,8.85,37.67,3,53.33,3,true
STU00099,CRS006,6.93,33.67,3,80.67,3,true
STU00099,CRS016,1.44,26.0,3,77.33,3,true
STU00100,CRS004,3.08,37.67,3,58.33,3,true
STU00100,CRS017,6.39,56.0,3,57.33,3,true
STU00101,CRS002,9.06,71.33,3,0.0,0,true
STU00102,CRS008,7.73,45.0,3,56.0,3,true
STU00102,CRS014,5.2,21.67,3,59.0,3,true
STU00105,CRS002,5.6,30.33,3,70.0,3,true
STU00105,CRS003,8.25,26.0,3,58.5,2,true
STU00106,CRS010,2.54,37.0,3,45.33,3,true
STU00109,CRS011,2.53,38.5,2,59.0,2,true
STU00110,CRS004,4.79,36.67,3,64.67,3,true
STU00110,CRS007,4.65,32.33,3,75.33,3,true
STU00110,CRS010,4.48,4.0,1,48.5,2,true
STU00111,CRS009,2.98,26.67,3,42.33,3,true
STU00112,CRS012,11.63,33.0,3,74.67,3,true
STU00114,CRS009,3.23,36.33,3,76.67,3,true
STU00114,CRS011,5.25,72.5,2,0.0,0,true
STU00114,CRS015,7.49,30.67,3,57.0,2,true
STU00114,CRS020,8.1,77.0,3,58.67,3,true
STU00116,CRS014,4.57,42.33,3,54.67,3,true
STU00117,CRS004,8.98,57.33,3,59.0,3,true
STU00117,CRS006,7.08,35.67,3,64.67,3,true
STU00118,CRS005,4.26,71.33,3,59.33,3,true
STU00119,CRS001,6.6,32.33,3,50.33,3,true
STU00119,CRS013,2.68,77.33,3,59.67,3,true
STU00120,CRS015,5.61,76.0,3,58.67,3,true
STU00121,CRS012,5.62,32.33,3,84.0,3,true
STU00121,CRS019,7.6,34.33,3,72.33,3,true
STU00122,CRS003,6.44,15.33,3,81.67,3,true
STU00123,CRS006,7.87,70.0,3,54.33,3,true
STU00124,CRS016,5.08,72.0,3,56.0,3,true
STU00125,CRS002,5.65,34.33,3,71.33,3,true
STU00125,CRS005,5.95,31.0,3,73.67,3,true
STU00126,CRS014,7.55,68.0,3,59.0,3,true
STU00126,CRS018,7.54,58.67,3,0.0,0,true
STU00127,CRS001,4.67,27.5,2,61.0,1,true
STU00127,CRS008,2.63,29.33,3,73.0,3,true
STU00127,CRS012,3.25,19.33,3,75.67,3,true
STU00127,CRS018,7.35,61.67,3,51.67,3,true
STU00129,CRS016,6.75,38.0,3,63.33,3,true
STU00131,CRS008,5.53,25.33,3,71.33,3,true
STU00132,CRS006,5.57,39.0,3,69.33,3,true
STU00133,CRS012,5.37,39.33,3,69.33,3,true
STU00134,CRS007,1.3,28.33,3,62.67,3,true
STU00135,CRS007,6.51,34.0,2,58.0,3,true
STU00135,CRS011,7.53,27.0,3,75.0,3,true
STU00136,CRS001,4.85,66.0,3,55.33,3,true
STU00138,CRS004,7.72,30.0,2,75.33,3,true
STU00139,CRS016,5.99,17.0,3,49.67,3,true
STU00140,CRS006,9.84,35.0,2,98.0,1,true
STU00141,CRS002,1.45,80.0,1,66.0,3,true
STU00141,CRS011,6.14,62.33,3,57.33,3,true
STU00142,CRS003,9.32,38.67,3,68.33,3,true
STU00142,CRS011,3.65,36.33,3,64.67,3,true
STU00145,CRS006,9.37,72.67,3,54.67,3,true
STU00145,CRS014,3.94,64.67,3,56.67,3,true
STU00146,CRS003,5.09,39.0,3,65.0,3,true
STU00146,CRS006,5.4,77.67,3,57.33,3,true
STU00146,CRS008,7.11,63.67,3,54.0,3,true
STU00146,CRS015,6.57,68.67,3,56.67,3,true
STU00149,CRS008,6.79,43.0,3,47.0,3,true
STU00149,CRS010,2.41,53.67,3,58.0,3,true
STU00150,CRS003,2.71,33.0,1,0.0,0,true
STU00150,CRS016,7.49,30.0,3,66.67,3,true
STU00151,CRS004,1.99,22.67,3,57.33,3,true
STU00151,CRS016,3.45,43.0,3,56.0,3,true
STU00152,CRS012,10.35,17.0,3,61.0,3,true
STU00152,CRS013,1.98,19.0,3,65.67,3,true
STU00153,CRS015,11.77,42.5,2,53.33,3,true
STU00153,CRS020,6.89,52.0,3,42.33,3,true
STU00154,CRS003,6.75,12.67,3,47.0,3,true
STU00155,CRS002,12.95,79.0,1,0.0,0,true
STU00155,CRS013,7.1,49.33,3,44.0,3,true
STU00155,CRS019,3.71,35.67,3,77.0,3,true
STU00156,CRS010,4.84,41.33,3,56.67,3,true
STU00157,CRS017,2.9,34.33,3,68.67,3,true
STU00158,CRS006,4.04,59.67,3,50.33,3,true
STU00158,CRS019,1.17,53.5,2,73.0,1,true
STU00159,CRS014,1.87,51.0,3,53.67,3,true
STU00160,CRS009,4.05,21.67,3,69.0,3,true
STU00160,CRS020,4.25,37.0,1,65.0,1,true
STU00162,CRS017,7.57,42.67,3,56.0,3,true
STU00164,CRS010,4.14,27.0,3,85.0,3,true
STU00165,CRS009,4.74,34.33,3,69.33,3,true
STU00166,CRS009,4.88,27.33,3,63.0,3,true
STU00167,CRS002,4.24,37.0,3,72.67,3,true
STU00167,CRS011,7.91,10.0,1,83.0,3,true
STU00168,CRS010,4.02,34.0,3,78.67,3,true
STU00168,CRS020,8.68,5.0,1,0.0,0,true
STU00169,CRS005,4.78,77.67,3,0.0,0,true
STU00169,CRS010,2.93,15.67,3,68.0,3,true
STU00170,CRS009,4.91,33.33,3,78.0,3,true
STU00171,CRS012,7.38,37.67,3,67.67,3,true
STU00171,CRS017,9.29,46.33,3,58.0,3,true
STU00171,CRS020,6.52,50.67,3,56.0,3,true
STU00172,CRS001,3.89,36.0,3,68.33,3,true
STU00172,CRS006,7.95,71.33,3,53.0,3,true
STU00172,CRS007,1.8,34.33,3,63.0,3,true
STU00174,CRS016,2.23,58.0,3,51.67,3,true
STU00175,CRS012,4.83,33.67,3,67.0,3,true
STU00175,CRS019,1.23,31.33,3,84.67,3,true
STU00177,CRS007,3.78,95.33,3,54.0,3,true
STU00177,CRS008,4.38,25.0,3,71.0,3,true
STU00178,CRS001,3.47,40.33,3,52.33,3,true
STU00179,CRS006,5.19,55.33,3,55.0,3,true
STU00180,CRS009,5.28,31.67,3,54.67,3,true
STU00180,CRS013,3.84,39.33,3,42.67,3,true
STU00180,CRS014,2.33,31.33,3,59.67,3,true
STU00181,CRS017,9.55,32.33,3,61.0,3,true
STU00182,CRS010,3.73,45.0,3,52.67,3,true
STU00182,CRS018,5.49,36.67,3,70.67,3,true
STU00183,CRS009,2.02,69.0,2,0.0,0,true
STU00184,CRS005,3.28,26.67,3,60.0,3,true
STU00184,CRS017,3.25,57.0,1,0.0,0,true
STU00185,CRS001,7.39,35.33,3,50.67,3,true
STU00185,CRS005,6.19,47.0,3,54.0,3,true
STU00185,CRS013,3.34,75.5,2,0.0,0,true
STU00185,CRS016,4.74,27.67,3,74.0,3,true
STU00186,CRS007,6.11,28.67,3,58.0,3,true
STU00186,CRS008,4.84,43.67,3,55.0,3,true
STU00186,CRS012,7.78,14.33,3,76.33,3,true
STU00186,CRS016,4.25,58.0,2,59.33,3,true
STU00187,CRS016,4.53,50.5,2,0.0,0,true
STU00188,CRS006,3.09,33.33,3,82.33,3,true
STU00188,CRS018,3.97,27.0,3,79.33,3,true
STU00189,CRS012,7.49,41.0,3,58.33,3,true
STU00190,CRS019,3.51,57.33,3,55.67,3,true
STU00191,CRS002,8.67,23.67,3,67.0,3,true
STU00191,CRS014,7.31,14.0,3,82.33,3,true
STU00192,CRS005,4.1,71.67,3,48.67,3,true
STU00192,CRS011,7.37,39.33,3,76.0,3,true
STU00192,CRS015,5.79,38.0,3,62.33,3,true
STU00193,CRS006,3.01,28.0,3,75.0,3,true
STU00193,CRS007,2.7,29.67,3,63.67,3,true
STU00193,CRS019,4.77,38.0,3,68.33,3,true
STU00194,CRS013,4.16,33.0,3,59.0,3,true
STU00194,CRS016,5.41,38.67,3,77.0,3,true
STU00194,CRS020,4.94,46.33,3,56.33,3,true
STU00195,CRS017,5.45,45.67,3,58.67,3,true
STU00196,CRS010,4.63,31.0,3,67.67,3,true
STU00199,CRS006,4.53,26.33,3,56.67,3,true
STU00199,CRS007,4.17,4.67,3,74.0,3,true
STU00199,CRS013,6.93,31.33,3,73.33,3,true
STU00200,CRS001,6.35,33.33,3,59.33,3,true
STU00202,CRS002,11.24,25.33,3,59.67,3,true
STU00202,CRS018,7.55,38.67,3,65.0,3,true
STU00202,CRS019,2.47,37.67,3,75.0,3,true
STU00205,CRS001,1.7,26.0,3,58.0,3,true
STU00205,CRS007,4.63,64.67,3,56.67,3,true
STU00206,CRS004,2.65,50.33,3,44.67,3,true
STU00206,CRS014,3.55,94.0,3,58.0,3,true
STU00206,CRS017,5.86,21.67,3,76.33,3,true
STU00207,CRS006,6.83,32.0,3,61.0,3,true
STU00211,CRS008,5.47,39.33,3,75.33,3,true
STU00211,CRS010,3.77,34.0,3,86.67,3,true
STU00211,CRS015,5.11,24.67,3,63.67,3,true
STU00213,CRS019,4.44,47.33,3,57.67,3,true
STU00214,CRS006,7.47,45.0,3,0.0,0,true
STU00214,CRS011,2.59,29.33,3,64.0,3,true
STU00215,CRS006,8.19,64.33,3,56.33,3,true
STU00215,CRS009,6.73,39.67,3,92.0,3,true
STU00215,CRS012,4.19,48.33,3,56.33,3,true
STU00216,CRS006,4.12,46.33,3,56.33,3,true
STU00216,CRS014,7.57,28.33,3,60.0,3,true
STU00217,CRS006,6.91,88.67,3,0.0,0,true
STU00218,CRS020,4.05,33.33,3,54.67,3,true
STU00219,CRS003,5.13,42.33,3,53.67,3,true
STU00220,CRS001,11.86,46.0,1,0.0,0,true
STU00220,CRS008,2.57,30.67,3,67.67,3,true
STU00222,CRS002,2.47,63.0,3,0.0,0,true
STU00222,CRS006,6.87,57.33,3,59.0,3,true
STU00223,CRS002,10.49,17.0,3,50.0,1,true
STU00223,CRS008,1.6,10.0,1,0.0,0,true
STU00225,CRS003,4.03,31.33,3,67.33,3,true
STU00225,CRS011,5.39,36.67,3,74.67,3,true
STU00225,CRS015,5.86,31.33,3,79.33,3,true
STU00226,CRS007,3.72,49.0,3,59.67,3,true
STU00226,CRS018,5.03,42.33,3,50.33,3,true
STU00227,CRS016,3.23,56.67,3,58.67,3,true
STU00229,CRS005,2.1,48.0,3,58.67,3,true
STU00229,CRS016,2.01,43.0,3,58.33,3,true
STU00230,CRS007,4.29,36.0,2,0.0,0,true
STU00230,CRS009,8.97,57.0,1,40.67,3,true
STU00230,CRS018,3.81,39.0,1,86.5,2,true
STU00231,CRS004,4.35,36.0,3,62.67,3,true
STU00231,CRS011,3.6,42.0,3,51.0,3,true
STU00232,CRS004,4.39,53.33,3,55.0,3,true
STU00232,CRS017,7.71,37.33,3,94.5,2,true
STU00233,CRS005,4.58,54.33,3,55.0,1,true
STU00234,CRS013,5.06,16.33,3,60.0,3,true
STU00235,CRS011,4.88,14.67,3,79.0,3,true
STU00235,CRS017,7.47,45.0,3,57.0,3,true
STU00236,CRS006,7.64,32.33,3,69.67,3,true
STU00236,CRS010,6.36,34.0,3,72.67,3,true
STU00236,CRS011,7.7,27.33,3,75.67,3,true
STU00236,CRS012,5.25,53.67,3,52.0,3,true
STU00237,CRS018,3.77,39.0,3,57.0,3,true
STU00238,CRS006,5.3,35.33,3,49.33,3,true
STU00238,CRS009,4.18,24.0,2,69.33,3,true
STU00239,CRS002,5.51,22.33,3,79.33,3,true
STU00239,CRS010,5.23,31.0,3,52.33,3,true
STU00240,CRS004,5.81,35.33,3,76.33,3,true
STU00242,CRS014,1.28,42.0,3,67.0,3,true
STU00243,CRS008,5.17,41.0,3,43.0,3,true
STU00245,CRS002,6.46,24.67,3,73.33,3,true
STU00245,CRS009,4.62,57.33,3,57.0,3,true
STU00245,CRS014,2.77,62.33,3,54.0,3,true
STU00246,CRS005,6.77,38.0,3,64.67,3,true
STU00247,CRS010,3.21,39.67,3,74.0,3,true
STU00248,CRS003,4.68,48.5,2,0.0,0,true
STU00249,CRS016,5.51,21.67,3,52.67,3,true
STU00249,CRS018,8.7,33.33,3,0.0,0,true
STU00250,CRS011,8.68,31.33,3,73.0,3,true
STU00252,CRS012,8.55,9.67,3,66.0,3,true
STU00252,CRS017,6.68,23.67,3,79.67,3,true
STU00253,CRS007,3.93,12.67,3,61.0,3,true
STU00253,CRS011,5.63,48.67,3,45.67,3,true
STU00253,CRS017,12.26,46.0,1,0.0,0,true
STU00254,CRS001,5.07,30.0,3,66.33,3,true
STU00255,CRS001,2.35,38.67,3,64.33,3,true
STU00255,CRS005,3.34,35.67,3,91.0,3,true
STU00256,CRS003,5.9,42.67,3,59.33,3,true
STU00257,CRS001,6.01,43.67,3,51.67,3,true
STU00257,CRS013,3.06,68.0,3,55.0,3,true
STU00258,CRS012,6.08,34.33,3,67.67,3,true
STU00259,CRS006,4.79,26.33,3,79.67,3,true
STU00259,CRS013,4.04,73.0,3,55.0,3,true
STU00259,CRS016,5.61,57.0,3,58.0,3,true
STU00260,CRS001,4.53,84.0,3,53.67,3,true
STU00260,CRS010,4.31,69.33,3,59.33,3,true
STU00260,CRS012,1.49,46.5,2,70.33,3,true
STU00261,CRS003,3.11,19.0,1,79.0,2,true
STU00261,CRS007,1.69,36.0,3,77.33,3,true
STU00261,CRS010,1.83,22.0,2,64.67,3,true
STU00261,CRS012,5.79,46.33,3,55.67,3,true
STU00261,CRS018,9.77,42.33,3,53.0,3,true
STU00262,CRS002,4.99,35.0,3,74.67,3,true
STU00262,CRS006,2.46,42.0,3,53.67,3,true
STU00262,CRS007,4.41,72.0,1,0.0,0,true
STU00262,CRS009,5.89,62.0,3,0.0,0,true
STU00263,CRS003,1.4,69.5,2,0.0,0,true
STU00264,CRS005,5.39,29.67,3,60.33,3,true
STU00265,CRS010,6.98,64.33,3,0.0,0,true
STU00265,CRS011,9.83,51.33,3,58.67,3,true
STU00265,CRS015,3.2,36.0,3,74.67,3,true
STU00267,CRS009,1.67,77.0,1,0.0,0,true
STU00267,CRS014,3.57,43.67,3,57.67,3,true
STU00268,CRS015,3.97,34.67,3,68.33,3,true
STU00268,CRS016,3.08,28.67,3,68.67,3,true
STU00269,CRS003,6.57,78.0,3,0.0,0,true
STU00269,CRS020,8.28,35.5,2,67.5,2,true
STU00272,CRS001,5.18,37.67,3,44.67,3,true
STU00272,CRS013,2.15,69.33,3,0.0,0,true
STU00273,CRS010,3.64,65.33,3,50.0,2,true
STU00274,CRS008,3.48,49.67,3,58.33,3,true
STU00274,CRS017,3.3,91.0,1,0.0,0,true
STU00276,CRS002,7.96,64.0,3,56.0,3,true
STU00276,CRS016,3.83,23.0,2,62.0,3,true
STU00277,CRS002,3.32,21.67,3,55.33,3,true
STU00277,CRS012,5.85,27.0,3,50.33,3,true
STU00277,CRS013,4.27,36.33,3,82.33,3,true
STU00277,CRS015,1.86,13.0,3,72.67,3,true
STU00277,CRS016,5.24,48.0,3,56.33,3,true
STU00278,CRS009,2.46,24.33,3,64.33,3,true
STU00278,CRS018,4.39,37.33,3,76.33,3,true
STU00279,CRS008,4.54,68.0,3,52.33,3,true
STU00280,CRS001,7.62,39.67,3,71.67,3,true
STU00281,CRS004,6.46,29.33,3,71.33,3,true
STU00281,CRS008,2.51,39.0,3,69.0,3,true
STU00283,CRS002,6.13,82.33,3,51.33,3,true
STU00283,CRS019,2.49,76.0,2,57.33,3,true
STU00284,CRS001,4.25,84.67,3,56.33,3,true
STU00284,CRS010,4.69,21.33,3,72.67,3,true
STU00284,CRS019,1.12,35.5,2,62.0,2,true
STU00285,CRS008,6.84,69.0,2,51.0,2,true
STU00286,CRS006,3.02,17.0,3,77.0,3,true
STU00286,CRS011,4.45,37.0,3,67.33,3,true
STU00287,CRS004,4.87,17.33,3,91.0,1,true
STU00288,CRS005,5.04,45.33,3,54.67,3,true
STU00288,CRS006,7.0,43.0,3,58.67,3,true
STU00288,CRS014,4.05,58.5,2,0.0,0,true
STU00290,CRS017,4.12,24.0,3,87.33,3,true
STU00290,CRS018,6.49,64.67,3,56.0,3,true
STU00291,CRS012,1.96,40.33,3,65.67,3,true
STU00292,CRS014,1.56,40.67,3,82.0,3,true
STU00292,CRS018,4.46,22.0,3,56.0,3,true
STU00293,CRS019,2.36,39.0,3,77.33,3,true
STU00294,CRS001,4.48,61.67,3,47.0,3,true
STU00294,CRS014,8.22,53.0,3,54.33,3,true
STU00295,CRS012,4.49,18.0,3,77.33,3,true
STU00295,CRS013,6.63,26.67,3,46.33,3,true
STU00296,CRS016,1.81,84.0,3,51.0,3,true
STU00296,CRS018,4.29,24.67,3,74.67,3,true
STU00296,CRS020,6.43,58.0,3,41.5,2,true
STU00297,CRS005,2.82,35.0,3,72.33,3,true
STU00297,CRS015,4.45,46.33,3,54.67,3,true
STU00298,CRS002,8.58,63.33,3,54.67,3,true
STU00298,CRS006,7.38,21.5,2,75.67,3,true
STU00299,CRS014,4.49,47.33,3,55.33,3,true
STU00300,CRS013,3.56,13.0,3,67.0,3,true
STU00301,CRS002,7.08,50.67,3,59.0,3,true
STU00301,CRS006,7.76,41.67,3,56.67,3,true
STU00301,CRS020,8.28,43.67,3,47.0,3,true
STU00302,CRS008,6.91,35.0,2,63.0,2,true
STU00302,CRS010,7.35,60.33,3,55.67,3,true
STU00302,CRS017,8.34,32.0,3,47.67,3,true
STU00303,CRS009,7.71,34.0,3,67.67,3,true
STU00304,CRS013,2.49,60.33,3,59.0,3,true
STU00304,CRS020,1.72,49.33,3,78.33,3,true
STU00307,CRS004,5.03,27.67,3,78.67,3,true
STU00307,CRS018,4.83,24.0,3,63.33,3,true
STU00308,CRS009,5.69,39.33,3,80.67,3,true
STU00309,CRS011,3.41,38.67,3,56.67,3,true
STU00309,CRS015,8.21,14.0,2,85.67,3,true
STU00313,CRS001,6.09,39.33,3,57.33,3,true
STU00313,CRS003,7.13,32.67,3,91.33,3,true
STU00314,CRS009,4.35,54.67,3,54.0,3,true
STU00314,CRS012,4.43,17.0,1,80.0,1,true
STU00315,CRS007,3.77,23.67,3,76.67,3,true
STU00316,CRS020,6.97,46.67,3,51.33,3,true
STU00317,CRS004,5.67,35.0,3,77.0,3,true
STU00318,CRS018,8.94,33.67,3,59.67,3,true
STU00319,CRS017,2.97,36.33,3,88.0,3,true
STU00319,CRS020,5.27,45.33,3,56.0,3,true
STU00320,CRS017,4.25,11.67,3,57.67,3,true
STU00321,CRS019,3.33,44.33,3,49.67,3,true
STU00322,CRS006,7.46,67.0,2,50.67,3,true
STU00323,CRS006,7.84,36.0,3,63.67,3,true
STU00323,CRS016,3.19,27.0,3,78.67,3,true
STU00324,CRS015,3.13,50.33,3,57.33,3,true
STU00325,CRS014,1.99,82.0,3,57.67,3,true
STU00325,CRS018,9.51,5.0,1,0.0,0,true
STU00326,CRS001,4.05,58.33,3,58.33,3,true
STU00326,CRS016,3.94,36.0,3,46.67,3,true
STU00327,CRS011,4.73,53.67,3,56.0,3,true
STU00328,CRS016,4.06,56.33,3,46.67,3,true
STU00329,CRS001,5.58,27.67,3,57.67,3,true
STU00329,CRS009,6.15,31.0,3,77.0,3,true
STU00329,CRS012,6.61,34.67,3,78.33,3,true
STU00329,CRS014,3.9,35.0,3,49.67,3,true
STU00330,CRS011,5.02,83.0,3,47.0,3,true
STU00330,CRS012,5.29,47.67,3,49.67,3,true
STU00330,CRS016,2.48,72.33,3,59.0,3,true
STU00331,CRS011,4.1,35.0,3,54.0,3,true
STU00332,CRS006,7.47,64.0,1,0.0,0,true
STU00332,CRS011,5.09,70.33,3,50.33,3,true
STU00333,CRS009,1.51,58.5,2,92.5,2,true
STU00333,CRS015,4.38,34.0,3,87.33,3,true
STU00334,CRS009,4.01,54.33,3,56.67,3,true
STU00336,CRS002,3.72,26.0,3,54.0,3,true
STU00337,CRS013,3.96,31.5,2,58.5,2,true
STU00338,CRS015,8.53,42.33,3,46.33,3,true
STU00339,CRS001,5.7,71.67,3,51.0,3,true
STU00339,CRS002,4.54,29.5,2,64.33,3,true
STU00340,CRS015,5.15,31.67,3,55.0,3,true
STU00340,CRS016,1.54,41.0,3,63.0,1,true
STU00341,CRS006,6.57,5.0,1,85.0,1,true
STU00341,CRS010,4.19,59.33,3,49.33,3,true
STU00341,CRS015,3.8,62.67,3,51.0,3,true
STU00341,CRS019,3.44,35.0,3,74.0,3,true
STU00342,CRS001,2.95,7.0,3,81.67,3,true
